iter	Passed	Remaining
0	2	2107
1	5	2771
2	7	2433
3	10	2656
4	12	2551
5	14	2407
6	16	2296
7	17	2200
8	22	2432
9	24	2455
10	27	2489
11	29	2411
12	37	2822
13	40	2880
14	43	2864
15	45	2778
16	46	2715
17	48	2655
18	50	2628
19	52	2591
20	55	2567
21	57	2549
22	59	2532
23	61	2494
24	63	2460
25	65	2437
26	67	2419
27	69	2400
28	71	2381
29	72	2355
30	74	2339
31	76	2311
32	78	2298
33	80	2284
34	82	2275
35	84	2268
36	86	2251
37	88	2237
38	89	2216
39	91	2197
40	93	2177
41	95	2177
42	97	2177
43	99	2166
44	101	2150
45	102	2134
46	104	2121
47	106	2107
48	107	2092
49	109	2085
50	111	2083
51	113	2076
52	115	2068
53	117	2056
54	119	2045
55	120	2033
56	122	2019
57	123	2011
58	125	2007
59	127	2000
60	129	1990
61	130	1980
62	132	1973
63	134	1965
64	135	1956
65	137	1948
66	139	1943
67	141	1937
68	143	1934
69	145	1928
70	146	1921
71	148	1914
72	150	1906
73	151	1901
74	154	1905
75	156	1904
76	158	1897
77	160	1892
78	161	1888
79	163	1882
80	165	1873
81	166	1868
82	168	1856
83	169	1851
84	171	1845
85	173	1840
86	174	1834
87	176	1828
88	178	1823
89	179	1816
90	181	1810
91	183	1806
92	184	1802
93	186	1798
94	188	1793
95	189	1787
96	191	1780
97	192	1775
98	194	1770
99	196	1765
100	197	1762
101	199	1758
102	201	1756
103	203	1751
104	204	1747
105	206	1743
106	208	1738
107	209	1733
108	211	1728
109	214	1732
110	224	1799
111	226	1796
112	230	1806
113	231	1802
114	233	1797
115	235	1791
116	236	1784
117	238	1781
118	240	1778
119	242	1774
120	244	1772
121	245	1768
122	247	1765
123	249	1762
124	251	1758
125	252	1754
126	254	1747
127	255	1742
128	257	1740
129	260	1740
130	261	1737
131	263	1734
132	265	1731
133	267	1727
134	268	1723
135	270	1719
136	272	1716
137	274	1714
138	276	1711
139	277	1707
140	279	1704
141	280	1697
142	282	1693
143	284	1689
144	285	1685
145	287	1682
146	289	1679
147	291	1676
148	293	1673
149	294	1670
150	296	1666
151	298	1663
152	299	1659
153	301	1656
154	303	1654
155	305	1651
156	307	1648
157	308	1644
158	310	1640
159	311	1636
160	313	1631
161	314	1628
162	316	1626
163	318	1625
164	320	1623
165	322	1620
166	324	1617
167	326	1614
168	327	1611
169	329	1608
170	331	1606
171	332	1602
172	334	1600
173	336	1596
174	338	1593
175	339	1591
176	341	1587
177	343	1584
178	345	1582
179	346	1580
180	348	1578
181	350	1575
182	352	1571
183	353	1568
184	355	1565
185	356	1560
186	358	1556
187	359	1552
188	360	1548
189	362	1546
190	364	1543
191	366	1540
192	367	1536
193	369	1533
194	370	1529
195	372	1526
196	373	1523
197	375	1519
198	376	1517
199	378	1513
200	380	1511
201	381	1507
202	383	1504
203	384	1502
204	386	1499
205	388	1496
206	390	1494
207	391	1492
208	393	1489
209	395	1486
210	396	1483
211	398	1480
212	399	1477
213	401	1474
214	403	1472
215	404	1469
216	406	1466
217	408	1464
218	409	1461
219	411	1458
220	413	1456
221	414	1454
222	416	1450
223	417	1446
224	419	1444
225	421	1441
226	422	1439
227	424	1436
228	425	1433
